"Issue ID","Issue Type","Summary","Labels","Start Date","Due Date","Sprint","Parent ID","Description"
"PD-051","Story","8 Risk Preference Sliders (Pillar 2 master filter)","planning-module, post-demo, commercial-1.0","2026-10-01","2026-10-31","October 2026","","Persistent header on Plan / Map / Evaluate exposes 8 inputs (one per risk dimension) using the UX format chosen during the UX research. Filters Map project pins, identifies RFQ targets via cross-reference, re-ranks Risk Report solicitations.

ACCEPTANCE CRITERIA:
- [ ] Slider/tier UI in scope bar (collapsible advanced panel)
- [ ] State persisted to user profile
- [ ] Map filter wired to slider values
- [ ] RFQ Builder pre-populated provider list reflects sliders"
"PD-052","Story","Forward Curve Service Integration — LMP / basis / BRA","planning-module, post-demo, forward-curve","2026-10-01","2026-11-15","October 2026","","Build the API and database layer to consume and serve the centralised forward-curve data (LMP forwards, basis forwards, BRA forwards) to the ML engine and Risk Report UI.

ACCEPTANCE CRITERIA:
- [ ] forward_curves table populated daily
- [ ] Versioned snapshots (curve_version) referenced by simulations
- [ ] API: GET /api/forward-curve?pnode=...&date=...
- [ ] Backtest report: curve accuracy vs. realised over prior 12 months"
"PD-053","Story","Live monitoring — alerting + reconciliation","planning-module, post-demo, monitoring, observability","2026-10-01","2026-10-31","October 2026","","Alerting rules on top of the feed health dashboard: PagerDuty/Slack on feed staleness, schema drift, gap detection, ingestion job failure. Nightly reconciliation jobs.

ACCEPTANCE CRITERIA:
- [ ] PagerDuty integration with severity tiers
- [ ] Reconciliation jobs nightly with email summary
- [ ] Runbook for each alert kind
- [ ] On-call rotation operational"
"PD-054","Story","Implement time-matched REC data structures and UI overlays","planning-module, post-demo, commercial-1.0, recs","2026-10-15","2026-11-30","October 2026","","Update the database schema and UI to support full time-matching (24-h, monthly, annual). Ensure the RECs sub-tab can render coverage by hour-of-day based on data provided by the math engine.

ACCEPTANCE CRITERIA:
- [ ] Onboarding captures matching window per site
- [ ] RECs sub-tab renders coverage by hour-of-day for 24-h matched sites
- [ ] Shortfall cost differs based on matching window strictness
- [ ] Scheme overlays: REC, AEPS, REGO"
"PD-055","Story","Customer Success Playbook for Beta Onboarding","planning-module, post-demo, customer-success","2026-10-20","2026-11-14","October 2026","","Document the end-to-end playbook for onboarding a beta customer: kickoff call agenda, site profile intake template, contract import format, REC target intake, expected timeline per step, escalation paths. Required input to the Beta Customer Pilots ticket.

ACCEPTANCE CRITERIA:
- [ ] Playbook document published in internal wiki
- [ ] Site profile intake template (CSV / form) ready
- [ ] Contract import format documented
- [ ] First-week customer activity timeline written
- [ ] Internal walk-through with Sales + CS teams"
"PD-056","Story","API Layer v2 — rate limiting, caching, observability","planning-module, post-demo, api, infrastructure","2026-11-01","2026-11-30","November 2026","","Productionise the API layer: per-user + per-IP rate limiting, response caching for hot read paths, structured request logging, p95 latency budgets.

ACCEPTANCE CRITERIA:
- [ ] Rate limit middleware operational with per-route budgets
- [ ] Redis (or equivalent) caching layer with TTLs documented
- [ ] Structured request logs shipped to log aggregator
- [ ] p95 latency dashboard per endpoint"
"PD-057","Story","Performance — large portfolio support (100+ sites)","planning-module, post-demo, performance","2026-11-01","2026-11-30","November 2026","","Profile chart math and Risk Report UI against a 100-site fixture. Add memoisation, virtual scroll on Documents/Transactions, lazy Map pins to ensure the Planning Module remains performant.

ACCEPTANCE CRITERIA:
- [ ] Synthetic 100-site fixture
- [ ] Scope change → chart re-render < 200 ms
- [ ] Risk Report ML < 1 s cached / < 5 s cold
- [ ] Map renders 100+ pins without frame drop"
"PD-058","Story","Audit log + observability","planning-module, post-demo, ops, security","2026-11-15","2026-11-30","November 2026","","Wire Sentry (or equivalent) for client errors, structured backend logs, audit log table for every state-mutating user action (tariff link, transaction accept, RFQ solicitation).

ACCEPTANCE CRITERIA:
- [ ] Sentry initialised with release tagging
- [ ] Backend logs structured + shipped
- [ ] Audit log table + admin-only viewer
- [ ] Alerting rules: 5xx rate, p95 latency, failed ML inference"
"PD-059","Story","Disaster Recovery + Backup Strategy","planning-module, post-demo, ops, security","2026-11-15","2026-12-05","November 2026","","Define and implement the DR + backup strategy required for any commercial release: Supabase backup cadence, point-in-time recovery (PITR) configuration, ingested-feed re-fetch playbook, regional failover plan if applicable, RPO and RTO targets documented and tested.

ACCEPTANCE CRITERIA:
- [ ] PITR enabled with documented RPO target
- [ ] Backup restoration drill executed end-to-end on staging
- [ ] Re-fetch playbook for each ingestion source (3-ISO, BRA, RECs, metered, macro)
- [ ] Runbook for the 3 most-likely DR scenarios
- [ ] RTO target documented + signed off by CTO"
"PD-060","Story","Beta customer pilots","planning-module, post-demo, commercial-1.0","2026-11-15","2026-12-19","November 2026","","Onboard 2–3 design-partner customers in beta. Real onboarding flows, real ingestion of their site data across PJM/MISO/ERCOT, real RFQ runs through the Contracting Module. Feedback loop into Commercial 1.0 release. Five-week window so each customer has time for kickoff → ingestion → first RFQ → feedback.

ACCEPTANCE CRITERIA:
- [ ] 2–3 customers signed beta agreements
- [ ] Onboarding completed for each (kickoff → site profile → contract import)
- [ ] First RFQ solicited via the platform per customer
- [ ] Feedback captured and triaged into v1.0 hot-fix vs. v1.1 backlog"
"PD-061","Story","White-label theming (logo, palette, custom domain)","planning-module, post-demo, commercial-1.0","2026-12-01","2026-12-22","December 2026","","Per-tenant theme: logo, colour palette, custom domain. Commercial 1.0 prerequisite for selling to enterprise customers who want their own brand on the platform.

ACCEPTANCE CRITERIA:
- [ ] Theme config per tenant in DB
- [ ] CSS variables driven by theme
- [ ] Custom domain routing operational
- [ ] Admin page for tenant config"
"PD-062","Story","Documentation Site Build","planning-module, post-demo, commercial-1.0, documentation","2026-12-01","2026-12-22","December 2026","","Public documentation site covering: getting started, site profile intake, the Plan / Map / Evaluate surfaces, the 8 risk dimensions, RFQ workflow, REC time-matching, API reference for integrators. Required reading for new buyers and beta customers.

ACCEPTANCE CRITERIA:
- [ ] docs.powerdime.com (or equivalent) live with structured navigation
- [ ] Getting-started guide complete with screenshots
- [ ] Surface-by-surface reference (Plan, Map, Evaluate)
- [ ] API reference auto-generated from OpenAPI spec
- [ ] Search operational"
"PD-063","Story","Multi-tenant org separation (sub-portfolios)","planning-module, post-demo, commercial-1.0","2026-12-08","2026-12-22","December 2026","","Within a buyer organisation, support sub-portfolios (e.g. by business unit, geography). Scope bar gains an org level above sites. RLS extends to org membership.

ACCEPTANCE CRITERIA:
- [ ] Org hierarchy in DB
- [ ] Scope bar org selector
- [ ] RLS: user sees only their org's data
- [ ] Admin page for org structure"
"PD-064","Story","Export-to-PDF for Risk Report (Before & After deliverable)","planning-module, post-demo, commercial-1.0","2026-12-08","2026-12-22","December 2026","","Generate the Before & After report as a downloadable PDF for the buyer's internal stakeholders. Renders the Risk Report's summary cards + decomposition + Contracted Position with branding.

ACCEPTANCE CRITERIA:
- [ ] Server-side PDF generation (Puppeteer or headless Chrome)
- [ ] Tenant branding applied
- [ ] Download triggered from Risk Report page
- [ ] Generated PDFs stored for audit / re-download"
"PD-065","Story","Commercial 1.0 release prep","planning-module, post-demo, commercial-1.0, milestone","2026-12-14","2026-12-22","December 2026","","Final release readiness: production deploy, runbooks, on-call rotation, billing integration, marketing site update. Window deliberately ends Dec 22 so the back half of December is a quiet period for hot-fixes rather than active deployment.

ACCEPTANCE CRITERIA:
- [ ] Production deploy validated
- [ ] Runbooks reviewed
- [ ] On-call rotation live (with holiday-period coverage explicitly assigned)
- [ ] Pricing + billing live
- [ ] Marketing site updated for launch announcement"
"PD-066","Story","Saved scenarios (compare hedge-stack A vs B)","planning-module, post-demo, commercial-1.0","2026-12-15","2026-12-22","December 2026","","Save the current hedge-stack as a named scenario so the user can compare the proposed-stack against an alternative. Drives the Risk Report comparative analysis story.

ACCEPTANCE CRITERIA:
- [ ] Save current state as scenario
- [ ] Side-by-side Risk Report compares 2 scenarios
- [ ] Scenarios persist per user across devices
- [ ] Diff view highlights what changed"
"PD-067","Story","COMMERCIAL 1.0 LAUNCH (PJM + MISO + ERCOT)","planning-module, milestone, commercial-1.0","2026-12-31","2026-12-31","December 2026","","Power Dime Commercial 1.0 release. Live 3-ISO data feeds (PJM, MISO, ERCOT) covering DA/RT prices, load, outages, and constraints; macro commodity references (Henry Hub, Western Hub, Indiana Hub, ERCOT North); BRA forward forecast; full 8 risk dimensions with stochastic ML; 8 risk-preference inputs; time-matched RECs (PJM-GATS / M-RETS / ERCOT REC); Contracting Module integration end-to-end; 2–3 beta customers transitioned to production; documentation site live.

ACCEPTANCE CRITERIA:
- [ ] Production release announcement published
- [ ] Beta customers transitioned to production tier
- [ ] All 3 ISO feeds running green for 7 consecutive days
- [ ] On-call rotation operational with holiday-period coverage
- [ ] v1.1 backlog drafted (CAISO / SPP / NYISO / ISONE expansion + customer-feedback hot-fixes)
- [ ] Q1 2027 sales pipeline opened"
"PD-068","Sub-task","Wiring & sync test: Layout top-nav (Plan/Map/Evaluate) + sub-tab routing","wiring-test, pre-demo","2026-05-25","2026-05-25","Demo Prep 3","PD-001","End-to-end wiring + sync verification for the top-level navigation and Capacity/Energy/RECs sub-tab row. Confirms route changes preserve scope/sub-tab state via DashboardViewContext.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (route → context → Layout → page render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (scope, year, sub-tab persist across nav)
- [ ] Test cases documented in QA test plan"
"PD-069","Sub-task","Wiring & sync test: ScopeBar — sites, dates, lock/unlock + ScopeContext propagation","wiring-test, pre-demo","2026-05-25","2026-05-25","Demo Prep 3","PD-001","End-to-end wiring + sync verification for the ScopeBar component (collapse/expand, site multi-select, start/end year+month, lock toggle) and ScopeContext propagation to every chart, table, and Risk metric.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (ScopeBar → ScopeContext → consumers in Plan/Map/Evaluate)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (scope changes re-flow through all year-aware math)
- [ ] Test cases documented in QA test plan"
"PD-070","Sub-task","Wiring & sync test: Plan→Energy — CapacityBox / KPI strip (year-aware)","wiring-test, pre-demo","2026-05-26","2026-05-26","Demo Prep 3","PD-003","End-to-end wiring + sync verification for the Plan→Energy KPI strip: Market Capacity, Forecast Capacity, Baseload, Peak Demand (above baseload), Load Factor, Annual Load — all year-aware via getSiteCapacityForYear and getScopeAvgAnnualLoadMwh.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (profile → year-aware helpers → KPI render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (capacity expansion + load adjustment lift KPIs proportionally)
- [ ] Test cases documented in QA test plan"
"PD-071","Sub-task","Wiring & sync test: Plan→Energy — LoadForecastChart 2D mode (hours + months)","wiring-test, pre-demo","2026-05-26","2026-05-26","Demo Prep 3","PD-003","End-to-end wiring + sync verification for the 2D bars: per-hour and per-month modes, contract gen-shape patterns stacking under load tier backgrounds, over-hedge segment below y=0.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (loadShape + contracts → buildRow → Recharts stack)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (term-staggered contracts + multipliers visible per row)
- [ ] Test cases documented in QA test plan"
"PD-072","Sub-task","Wiring & sync test: Plan→Capacity — CapacityRollup + CapacityCoverageChart pipeline","wiring-test, pre-demo","2026-05-26","2026-05-26","Demo Prep 3","PD-004","End-to-end wiring + sync verification for the Plan→Capacity tab top-of-page summary and the year-aware capacity bar chart with per-source patterns and over-hedge below y=0.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (LINKED_CAPACITY_SOURCES → getSiteCapacityForYear → chart render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (year tab + scope changes update bar height + sources)
- [ ] Test cases documented in QA test plan"
"PD-073","Sub-task","Wiring & sync test: Plan→Capacity — SiteCapacityCard panels + dialogs","wiring-test, pre-demo","2026-05-26","2026-05-26","Demo Prep 3","PD-005","End-to-end wiring + sync verification for the per-site capacity cards: brownfield BRA panel, greenfield options table, View Document dialog (link/unlink), Solicit RFQ button, View BRA History button.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (site profile → card → dialog → handoff popup or Documents page)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (tariff link persists; popup callbacks fire correctly)
- [ ] Test cases documented in QA test plan"
"PD-074","Sub-task","Wiring & sync test: Plan→Energy — LoadForecastChart 3D oblique ribbon","wiring-test, pre-demo","2026-05-27","2026-05-27","Demo Prep 3","PD-003","End-to-end wiring + sync verification for the 3D mode (X=hour, Y=MW, Z=month) using year-aware effective load + capacity ceiling.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (getEffectiveLoadAt → SVG ribbon paths)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (year tab change re-renders ribbon)
- [ ] Test cases documented in QA test plan"
"PD-075","Sub-task","Wiring & sync test: Plan→Energy — year tabs + all-years + adjustment notice banner","wiring-test, pre-demo","2026-05-27","2026-05-27","Demo Prep 3","PD-003","End-to-end wiring + sync verification for the year-tab control, the All years multi-year mode, and the amber adjustment-notice banner that surfaces when any in-scope site has a documented load step-change.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (yearOptions → activeYear → chart + banner)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (banner reflects only in-scope adjustments; All years tiles every month)
- [ ] Test cases documented in QA test plan"
"PD-076","Sub-task","Wiring & sync test: Plan→Energy — CostTime / EnergyMix / ProcurementSchedule / RiskAlerts panels","wiring-test, pre-demo","2026-05-27","2026-05-27","Demo Prep 3","PD-003","End-to-end wiring + sync verification for the four lower panels on the Energy tab. Confirms each panel reads its own data correctly and re-renders on scope/year change.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (data source → panel render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (scope change updates each panel)
- [ ] Test cases documented in QA test plan"
"PD-077","Sub-task","Wiring & sync test: Plan→RECs — MVP target / coverage gap","wiring-test, pre-demo","2026-05-27","2026-05-27","Demo Prep 3","PD-013","End-to-end wiring + sync verification for the RECs sub-tab MVP: per-site target %, current REC coverage %, gap MWh, annual ESG cost.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (REC target + REC contracts → gap math → render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (Solicit RFQ affordance fires correct popup)
- [ ] Test cases documented in QA test plan"
"PD-078","Sub-task","Wiring & sync test: Plan→Energy — per-site transaction summary strip","wiring-test, pre-demo","2026-05-27","2026-05-27","Demo Prep 3","PD-015","End-to-end wiring + sync verification for the per-site condensed transaction strip (project · MW · shape · term).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (LINKED_CONTRACTS → strip render with term gating)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (out-of-term transactions fade for active year)
- [ ] Test cases documented in QA test plan"
"PD-079","Sub-task","Wiring & sync test: Map — OSM basemap + PJM zone overlay","wiring-test, pre-demo","2026-05-28","2026-05-28","Demo Prep 3","PD-007","End-to-end wiring + sync verification for the MapLibre basemap load and the PJM zone GeoJSON overlay rendering.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (tiles fetch → MapLibre → zone fill/line layers)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (resize, pan/zoom, tile cache)
- [ ] Test cases documented in QA test plan"
"PD-080","Sub-task","Wiring & sync test: Map — project pins + generation legend filter","wiring-test, pre-demo","2026-05-28","2026-05-28","Demo Prep 3","PD-007","End-to-end wiring + sync verification for project pin placement (per gen type), pin colour, and the generation-legend filter that toggles types on/off.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (project list → pin layer → legend filter state)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (PJM-only filter + scope-aware pin visibility)
- [ ] Test cases documented in QA test plan"
"PD-081","Sub-task","Wiring & sync test: Map — site pins + project popup + Examine Fit ribbon","wiring-test, pre-demo","2026-05-28","2026-05-28","Demo Prep 3","PD-007","End-to-end wiring + sync verification for buyer site pins (DOM zone), the project popup, and the Examine Fit ribbon that surfaces when project term exceeds active scope.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (site profile → pin → popup → Examine Fit handoff payload)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (Examine Fit → ModuleHandoffDialog payload preview)
- [ ] Test cases documented in QA test plan"
"PD-082","Sub-task","Wiring & sync test: Map — sidebar list + fly-to + accepted-transaction overlay","wiring-test, pre-demo","2026-05-28","2026-05-28","Demo Prep 3","PD-014","End-to-end wiring + sync verification for the right sidebar project list, click-to-fly behaviour, and the connector lines linking each contracted project to the buyer site(s) it hedges.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (sidebar click → flyTo; LINKED_CONTRACTS → connector lines)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (connectors update on scope + transaction changes; faded out-of-scope)
- [ ] Test cases documented in QA test plan"
"PD-083","Sub-task","Wiring & sync test: Evaluate — universal year tabs + Load Profile strip + 5 summary cards","wiring-test, pre-demo","2026-05-29","2026-05-29","Demo Prep 3","PD-006","End-to-end wiring + sync verification for the always-visible Risk Report header: year tabs, Load Profile context strip (Market Capacity / Baseload / Peak above baseload), and the five summary cards (Baseline, Proposed P50, Savings, Contracted Coverage, Total Load Scope).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (scope + year + contracts → year-aware annual MWh + cards)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (Contracted Coverage matches the Energy chart for the active year)
- [ ] Test cases documented in QA test plan"
"PD-084","Sub-task","Wiring & sync test: Evaluate→Energy — risk decomposition table + Contracted Position bars","wiring-test, pre-demo","2026-05-29","2026-05-29","Demo Prep 3","PD-006","End-to-end wiring + sync verification for the 5-row risk decomposition table (Total Delivered, Base Price, Basis, Unhedged Shape, ESG) and the per-site Contracted Position bars (on-peak / off-peak).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (SITE_RISK + scope → table + bars)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (year tab change re-flows table values)
- [ ] Test cases documented in QA test plan"
"PD-085","Sub-task","Wiring & sync test: Evaluate→Energy — Monthly Basis Detail table","wiring-test, pre-demo","2026-05-29","2026-05-29","Demo Prep 3","PD-006","End-to-end wiring + sync verification for the Monthly Basis Detail table including scope-month clipping and per-period P10/P50/P90 colour rules.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (LMP_PERIODS → scope-clipped rows → render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (boundary years respect startMonth / endMonth)
- [ ] Test cases documented in QA test plan"
"PD-086","Sub-task","Wiring & sync test: Evaluate→RECs — Risk View","wiring-test, pre-demo","2026-05-29","2026-05-29","Demo Prep 3","PD-013","End-to-end wiring + sync verification for the RECs Risk View on Evaluate (target % vs coverage, ESG cost band).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (REC target + REC contracts → risk view)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (scope-aware totals match Plan→RECs)
- [ ] Test cases documented in QA test plan"
"PD-087","Sub-task","Wiring & sync test: Evaluate→Capacity — CapacityRiskTab panels","wiring-test, pre-demo","2026-05-29","2026-05-29","Demo Prep 3","PD-016","End-to-end wiring + sync verification for the Capacity Risk sub-tab: Capacity-cost summary card, BRA volatility band, Fixed-term-vs-pass-through comparison.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (capacity sources + BRA history → panel render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (View BRA History routes to ModuleHandoffDialog)
- [ ] Test cases documented in QA test plan"
"PD-088","Sub-task","Wiring & sync test: Projects — list + filters + search + CreateProjectModal + TermSheet","wiring-test, pre-demo","2026-05-30","2026-05-30","Demo Prep 3","PD-001","End-to-end wiring + sync verification for the Projects page including the 27-column CreateProjectModal and the ProjectTermSheet view.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (form → DB → list refresh + Map pin appearance)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (new project visible on Map after publish)
- [ ] Test cases documented in QA test plan"
"PD-089","Sub-task","Wiring & sync test: Transactions — pipeline + allocation + search","wiring-test, pre-demo","2026-05-30","2026-05-30","Demo Prep 3","PD-001","End-to-end wiring + sync verification for the Transactions page: Pending / In Progress / Accepted pipeline, per-transaction site allocation display, RowActions, and search/filter.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (transaction state → pipeline render → allocation read)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (allocations persist via transactionAllocations.ts)
- [ ] Test cases documented in QA test plan"
"PD-090","Sub-task","Wiring & sync test: Login + auth + ProtectedRoute","wiring-test, pre-demo","2026-05-30","2026-05-30","Demo Prep 3","PD-001","End-to-end wiring + sync verification for Login form, Supabase session establishment, ProtectedRoute redirect logic, and auth-token refresh on long sessions.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (login → session → protected page render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (logout clears session + ScopeContext + DashboardViewContext)
- [ ] Test cases documented in QA test plan"
"PD-091","Sub-task","Wiring & sync test: Documents — list + empty state + selection mode + search","wiring-test, pre-demo","2026-05-30","2026-05-30","Demo Prep 3","PD-008","End-to-end wiring + sync verification for the Documents page list view, empty-state UX (no error banners on backend failure), search/filter, and the selection-mode return path used by tariff linking.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (getPowerPlans → list + selection mode)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (selection navigates back with link payload)
- [ ] Test cases documented in QA test plan"
"PD-092","Sub-task","Wiring & sync test: Documents — upload modal + DocumentProcessor","wiring-test, pre-demo","2026-05-30","2026-05-30","Demo Prep 3","PD-008","End-to-end wiring + sync verification for UploadModal, FileUpload, and the DocumentProcessor pipeline (JamMetadata extraction).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (file → upload → processor → metadata persisted)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (uploaded doc appears in list immediately)
- [ ] Test cases documented in QA test plan"
"PD-093","Sub-task","Wiring & sync test: Tariff link / unlink full cycle","wiring-test, pre-demo","2026-05-31","2026-05-31","Demo Prep 3","PD-009","End-to-end wiring + sync verification for the full tariff-link cycle: View Document on Capacity card → Documents selection mode → click doc → write link → return → Capacity card shows linked state.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (TariffDialog → Documents → write → render linked state)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (unlink path also tested; persists across page nav)
- [ ] Test cases documented in QA test plan"
"PD-094","Sub-task","Wiring & sync test: ModuleHandoffDialog (Solicit RFQ / Examine Fit / View BRA / Accept Txn)","wiring-test, pre-demo","2026-05-31","2026-05-31","Demo Prep 3","PD-012","End-to-end wiring + sync verification for the generalised ModuleHandoffDialog: every CTA that crosses an unfinished module boundary opens a popup naming the module + completion date + payload preview.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (CTA click → dialog → payload preview)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (each kind shows correct module name + date + sub-line)
- [ ] Test cases documented in QA test plan"
"PD-095","Sub-task","Wiring & sync test: Onboarding → Planning visibility","wiring-test, post-demo","2026-07-27","2026-07-28","July 2026","PD-033","End-to-end wiring + sync verification that data entered via Onboarding (multi-step form, site profile intake, REC target intake, existing-contract import) appears in the Planning Module without manual refresh.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (Onboarding submit → DB → Planning hooks)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (new site appears in ScopeBar + charts on next render)
- [ ] Test cases documented in QA test plan"
"PD-096","Sub-task","Wiring & sync test: Background job infra + queue + retry + DLQ","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-029","End-to-end wiring + sync verification for the async job runner: enqueue → worker → success / retry / DLQ → alert.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (enqueue API → worker → result store + alerting)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (DLQ message triggers alert, runbook surfaced)
- [ ] Test cases documented in QA test plan"
"PD-097","Sub-task","Wiring & sync test: 3-ISO schema → ingestion → API → UI propagation","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-031","End-to-end wiring + sync verification that data ingested into the 3-ISO normalized tables (PJM, MISO, ERCOT) flows correctly through the API layer into the Planning Module charts and Risk Report.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (vendor → ingestion → iso_prices/iso_load → API → UI)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (each ISO renders correctly; node mapping translates to internal IDs)
- [ ] Test cases documented in QA test plan"
"PD-098","Sub-task","Wiring & sync test: Auth + RLS hardening cross-tenant","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-032","End-to-end wiring + sync verification that buyer A cannot see buyer B's data on any Planning surface, even via URL manipulation.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (JWT → RLS policy → data scope)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (impersonation pen-test: 0 leaks across all routes)
- [ ] Test cases documented in QA test plan"
"PD-099","Sub-task","Wiring & sync test: BRA forward forecast → Capacity Risk panel","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-035","End-to-end wiring + sync verification for the BRA forward forecast model output flowing into the Capacity Risk panel's P10/P50/P90 band.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (model → bra_forward → Capacity Risk band render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (forecast version pinned to scenario for reproducibility)
- [ ] Test cases documented in QA test plan"
"PD-100","Sub-task","Wiring & sync test: Macro Commodity ingestion → forward-curve UI","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-037","End-to-end wiring + sync verification for Henry Hub, Western Hub, Indiana Hub, and ERCOT North ingestion → macro_prices / macro_forwards → Risk Report references.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (vendor → macro tables → UI references)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (per-ISO Power hub correctly paired with site)
- [ ] Test cases documented in QA test plan"
